# step_dt, iter_dt, train_loss_dt, train_acc_dt, test_acc_dt, time_dt
   10.0000, 1280.0000,9348796.0000,    0.4219,    0.4102,    8.1134
   20.0000, 2560.0000,6252040.0000,    0.5000,    0.4961,   16.3287
   30.0000, 3840.0000,6142374.5000,    0.4922,    0.5039,   24.3751
   40.0000, 5120.0000,3680572.0000,    0.5156,    0.5234,   32.4595
   50.0000, 6400.0000,4456684.0000,    0.4766,    0.5312,   40.5891
   60.0000, 7680.0000,3021609.5000,    0.6016,    0.5391,   50.0055
   70.0000, 8960.0000,2482584.0000,    0.5312,    0.5859,   58.1493
   80.0000,10240.0000,2764113.5000,    0.5781,    0.5625,   65.7499
   90.0000,11520.0000,2934276.0000,    0.4844,    0.5820,   73.8736
  100.0000,12800.0000,2366753.5000,    0.5703,    0.5820,   81.9290
  110.0000,14080.0000,2021844.5000,    0.6250,    0.6172,   91.2019
  120.0000,15360.0000,1861901.6250,    0.6406,    0.5820,   99.2831
  130.0000,16640.0000,1713503.7500,    0.6328,    0.6172,  107.3327
  140.0000,17920.0000,1377562.2500,    0.6562,    0.6406,  115.4135
  150.0000,19200.0000,888857.4375,    0.7656,    0.6484,  123.5213
  160.0000,20480.0000,1002620.1250,    0.6953,    0.6484,  132.2183
  170.0000,21760.0000,1038014.1250,    0.6797,    0.6406,  140.3256
  180.0000,23040.0000,1081375.0000,    0.6094,    0.6250,  148.4160
  190.0000,24320.0000,954347.1250,    0.6875,    0.6484,  156.5330
  200.0000,25600.0000,989374.8750,    0.6953,    0.6758,  164.7440
  210.0000,26880.0000,576874.0000,    0.7500,    0.6797,  173.9607
  220.0000,28160.0000,629169.0000,    0.7578,    0.6797,  182.0415
  230.0000,29440.0000,575450.4375,    0.7266,    0.7031,  190.1897
  240.0000,30720.0000,741815.5000,    0.7109,    0.6914,  197.6257
  250.0000,32000.0000,487931.0625,    0.7344,    0.6797,  206.4310
  260.0000,33280.0000,448893.8750,    0.7188,    0.6680,  216.0224
  270.0000,34560.0000,451498.5000,    0.8047,    0.6914,  224.3172
  280.0000,35840.0000,478288.5000,    0.7422,    0.7148,  232.5216
  290.0000,37120.0000,484130.5625,    0.7266,    0.6680,  240.6624
  300.0000,38400.0000,394591.8438,    0.7266,    0.6875,  248.8619
  310.0000,39680.0000,280815.1562,    0.7734,    0.7188,  258.1317
  320.0000,40960.0000,360809.7500,    0.7734,    0.7188,  265.5721
  330.0000,42240.0000,293683.2812,    0.7812,    0.7188,  273.8102
  340.0000,43520.0000,270375.8750,    0.7344,    0.7031,  281.9301
  350.0000,44800.0000,264997.4375,    0.7969,    0.7461,  290.0577
  360.0000,46080.0000,296861.4688,    0.7969,    0.7383,  299.3807
  370.0000,47360.0000,151131.5938,    0.8047,    0.7422,  307.4921
  380.0000,48640.0000,230838.1562,    0.8125,    0.7617,  315.5839
  390.0000,49920.0000,       nan,       nan,    0.7266,  322.7281
  400.0000,51200.0000,248519.2188,    0.7734,    0.7500,  330.8445
  410.0000,52480.0000,264462.2500,    0.7969,    0.7422,  340.0732
  420.0000,53760.0000,185321.9688,    0.8203,    0.7461,  348.1831
  430.0000,55040.0000,205707.7656,    0.7891,    0.7852,  356.2553
  440.0000,56320.0000,271265.7500,    0.7734,    0.7656,  364.3571
  450.0000,57600.0000,125707.4766,    0.8438,    0.7734,  372.5071
